rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
40,LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN2645,7/14/08,2026,-21,5
41,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN2348,7/14/08,1224,23,120
42,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN1619,7/14/08,1602,5,102
43,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN2645,7/14/08,2026,-21,76
44,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US408,7/14/08,1713,-2,95
45,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US1550,7/14/08,1218,42,139
46,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US128,7/14/08,1554,43,140
47,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US412,7/14/08,1916,-28,69
48,LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,UA1540,7/14/08,1247,-7,90
49,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,UA1540,7/14/08,1247,-7,108
5,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US412,7/14/08,1916,-28,-41
50,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN2348,7/14/08,1224,23,138
51,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN1619,7/14/08,1602,5,120
52,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN2645,7/14/08,2026,-21,94
53,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US1550,7/14/08,1218,42,157
54,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US408,7/14/08,1713,-2,113
55,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US128,7/14/08,1554,43,158
56,LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US412,7/14/08,1916,-28,87
57,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US412,7/14/08,1916,-28,88
58,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US1550,7/14/08,1218,42,158
59,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US408,7/14/08,1713,-2,114
6,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US128,7/14/08,1554,43,30
60,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US128,7/14/08,1554,43,159
61,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,UA1540,7/14/08,1247,-7,109
62,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN1619,7/14/08,1602,5,121
63,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN2348,7/14/08,1224,23,139
64,LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN2645,7/14/08,2026,-21,95
65,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN1619,7/14/08,1602,5,164
66,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN2348,7/14/08,1224,23,182
67,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN2645,7/14/08,2026,-21,138
68,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US412,7/14/08,1916,-28,131
69,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US1550,7/14/08,1218,42,201
7,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US1550,7/14/08,1218,42,29
70,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US128,7/14/08,1554,43,202
71,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US408,7/14/08,1713,-2,157
72,LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,UA1540,7/14/08,1247,-7,152
73,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,UA1540,7/14/08,1247,-7,172
74,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN1619,7/14/08,1602,5,184
75,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN2348,7/14/08,1224,23,202
76,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN2645,7/14/08,2026,-21,158
77,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US1550,7/14/08,1218,42,221
78,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US128,7/14/08,1554,43,222
79,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US412,7/14/08,1916,-28,151
8,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US408,7/14/08,1713,-2,-15
80,LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US408,7/14/08,1713,-2,177
9,LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US128,7/14/08,1554,43,34
1,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL41,4/5/08,1943,9,16
10,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,FL41,4/5/08,2151,20,33
11,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,FL40,4/5/08,1857,-2,11
12,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL535,4/5/08,2206,73,86
13,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL1423,4/5/08,2134,12,25
14,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL1185,4/5/08,1332,6,19
15,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL75,4/5/08,1704,0,13
16,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL41,4/5/08,1943,9,22
17,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL885,4/5/08,1451,5,18
18,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL125,4/5/08,1842,181,194
19,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL41,4/5/08,1943,9,26
2,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL535,4/5/08,2206,73,80
20,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL535,4/5/08,2206,73,90
21,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL125,4/5/08,1842,181,198
22,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1185,4/5/08,1332,6,23
23,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL885,4/5/08,1451,5,22
24,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1423,4/5/08,2134,12,29
25,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL75,4/5/08,1704,0,17
26,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL41,4/5/08,2151,20,37
27,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL40,4/5/08,1857,-2,15
28,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL40,4/5/08,1857,-2,21
29,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL41,4/5/08,2151,20,43
3,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL75,4/5/08,1704,0,7
30,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL535,4/5/08,2206,73,96
31,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL41,4/5/08,1943,9,32
32,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL75,4/5/08,1704,0,23
